std_a_ =6	std_yawdd_ =1
0.05	107.354
0.15	3.73649
0.25	1.00844
0.35	3.57524
0.45	0.109036
0.55	2.35121
0.65	1.63021
0.75	0.962332
0.85	0.996043
0.95	1.45715
1.05	3.76447
1.15	0.151743
1.25	1.53402
1.35	4.95947
1.45	2.10787
1.55	5.36905
1.65	6.83504
1.75	4.06824
1.85	3.80386
1.95	1.62201
2.05	2.84601
2.15	0.64418
2.25	1.15218
2.35	0.350921
2.45	2.0092
2.55	9.81115
2.65	0.114506
2.75	0.996556
2.85	2.97443
2.95	2.35627
3.05	1.20165
3.15	0.963964
3.25	0.804365
3.35	1.81938
3.45	1.58115
3.55	2.62954
3.65	0.4031
3.75	1.00882
3.85	0.273464
3.95	0.636149
4.05	3.23129
4.15	0.310457
4.25	2.00066
4.35	0.363299
4.45	0.779478
4.55	1.63049
4.65	7.61345
4.75	2.41835
4.85	4.71281
4.95	8.43445
5.05	4.36113
5.15	2.55464
5.25	2.15834
5.35	1.37781
5.45	0.747363
5.55	1.31523
5.65	3.39248
5.75	6.61769
5.85	1.23348
5.95	1.79775
6.05	0.196137
6.15	6.45551
6.25	6.16216
6.35	1.79147
6.45	2.51662
6.55	6.28804
6.65	1.84425
6.75	3.01581
6.85	3.29048
6.95	10.1888
7.05	3.27098
7.15	5.25914
7.25	2.29708
7.35	1.17314
7.45	0.201398
7.55	1.75755
7.65	2.0385
7.75	2.60412
7.85	0.902474
7.95	1.0332
8.05	4.13324
8.15	5.2761
8.25	1.02442
8.35	1.07751
8.45	1.51915
8.55	4.32156
8.65	0.0687643
8.75	3.28728
8.85	0.293619
8.95	0.610434
9.05	3.12895
9.15	1.38741
9.25	1.88379
9.35	4.34792
9.45	1.69878
9.55	0.911609
9.65	6.00367
9.75	3.64924
9.85	1.79894
9.95	1.96183
10.05	1.88782
10.15	4.28118
10.25	0.300882
10.35	1.8719
10.45	1.00765
10.55	2.15966
10.65	1.8725
10.75	0.921237
10.85	0.270754
10.95	1.19761
11.05	2.23545
11.15	3.2664
11.25	2.82153
11.35	1.58958
11.45	1.40466
11.55	0.698917
11.65	0.728962
11.75	2.04832
11.85	2.01103
11.95	2.2924
12.05	5.38516
12.15	4.3901
12.25	1.91496
12.35	2.39883
12.45	4.60277
12.55	1.93728
12.65	0.373264
12.75	1.67046
12.85	2.04109
12.95	3.64766
13.05	0.789898
13.15	0.296777
13.25	3.85555
13.35	0.147931
13.45	0.942911
13.55	6.08941
13.65	5.70974
13.75	2.84111
13.85	4.81237
13.95	2.97116
14.05	1.75747
14.15	3.92284
14.25	1.03519
14.35	0.225461
14.45	4.42808
14.55	0.487049
14.65	0.443295
14.75	1.316
14.85	2.47493
14.95	0.324929
15.05	4.68491
15.15	1.41186
15.25	6.41952
15.35	0.643217
15.45	1.6037
15.55	1.31908
15.65	1.59282
15.75	0.469784
15.85	2.11912
15.95	1.24702
16.05	2.4326
16.15	2.59659
16.25	2.13227
16.35	0.525188
16.45	4.48096
16.55	1.28312
16.65	1.84837
16.75	4.68058
16.85	7.7921
16.95	1.64103
17.05	0.348654
17.15	1.72997
17.25	3.73717
17.35	0.977595
17.45	4.74375
17.55	1.67069
17.65	2.65326
17.75	1.99837
17.85	5.03127
17.95	2.49234
18.05	0.724178
18.15	2.86244
18.25	1.89344
18.35	0.740489
18.45	1.887
18.55	3.44222
18.65	0.363252
18.75	1.79986
18.85	1.12715
18.95	5.90033
19.05	0.110932
19.15	11.2803
19.25	2.94973
19.35	0.124624
19.45	1.72281
19.55	1.52263
19.65	2.19868
19.75	1.50622
19.85	5.1155
19.95	2.29605
20.05	2.75713
20.15	1.97609
20.25	6.08195
20.35	8.5579
20.45	0.417297
20.55	0.408971
20.65	2.98957
20.75	2.111
20.85	1.14155
20.95	0.534342
21.05	8.917
21.15	2.32496
21.25	0.681793
21.35	3.06368
21.45	3.63179
21.55	1.09475
21.65	5.42074
21.75	1.62307
21.85	1.58101
21.95	5.4659
22.05	1.50465
22.15	4.37288
22.25	5.2491
22.35	1.2131
22.45	0.383997
22.55	5.0267
22.65	1.67468
22.75	4.57889
22.85	2.90608
22.95	0.328965
23.05	0.0386215
23.15	0.371389
23.25	0.124302
23.35	7.21439
23.45	5.94195
23.55	0.6772
23.65	1.00745
23.75	0.460809
23.85	1.19794
23.95	0.309144
24.05	2.85816
24.15	6.17157
24.25	0.928498
24.35	4.49417
24.45	3.81313
24.55	2.35054
24.65	6.19286
24.75	1.55777
24.85	1.72372
